id;name;description ;image_url ;image_base_64
1;Trà;Trà pha ấm- Trà túi lọc;https://product.hstatic.net/1000303672/product/tra_xanh__100g__hop__mau_cua_so_do.__110303_-_01_5d03c6386d4342849e8ed3a16d0e5aa5.jpg;
2;Trái cây sấy;Sấy khô- Sấy dẻo;https://product.hstatic.net/1000303672/product/thap_cam_say__400g__bich__mau_mawashi_-_01_f910ed574cc24b0b84c1265fd84b2cb0.jpg;
3;Mứt đặc sản;Bánh-kẹo-mứt;https://product.hstatic.net/1000303672/product/mut_nho_250g_bich_mau_kraft_1_mat_trong_110726_01_27f02959a6b141a69965815ba115517b.jpg;
4;Hạt đặc sản;Hạt;https://product.hstatic.net/1000303672/product/hat_macca__850g__bich__mau_mawashi_-_01_30edf28460454c1580edf5d2e905a580.jpg;
5;Thịt khô;Thịt khô sấy;https://product.hstatic.net/1000303672/product/kho_ga_cay_la_chanh__350g__bich__mau_mawashi_-_01_a4aa52b4c1de419a9e1b9cb47a509161.jpg;
6;Quà tặng;Quà tặng;https://product.hstatic.net/1000303672/product/_thom__120g__hop__mau_hop_thiec_hoa_van__huong_ocean__dalat_retro_-_01_22b55f2a2aed4853850d4a95fb061033.jpg;
